iter	Passed	Remaining
802	4499	1103
803	4501	1097
804	4502	1090
805	4504	1084
806	4506	1077
807	4507	1071
808	4509	1064
809	4511	1058
810	4513	1051
811	4514	1045
812	4516	1038
813	4517	1032
814	4519	1025
815	4521	1019
816	4522	1013
817	4526	1007
818	4527	1000
819	4529	994
820	4530	987
821	4532	981
822	4533	975
823	4535	968
824	4536	962
825	4538	956
826	4542	950
827	4544	943
828	4546	937
829	4548	931
830	4549	925
831	4551	918
832	4552	912
833	4556	906
834	4557	900
835	4559	894
836	4560	888
837	4562	881
838	4563	875
839	4565	869
840	4567	863
841	4569	857
842	4571	851
843	4572	845
844	4574	839
845	4575	832
846	4577	826
847	4579	820
848	4580	814
849	4582	808
850	4585	802
851	4587	796
852	4588	790
853	4590	784
854	4591	778
855	4593	772
856	4594	766
857	4595	760
858	4597	754
859	4600	748
860	4601	742
861	4603	736
862	4604	730
863	4606	725
864	4607	719
865	4609	713
866	4610	707
867	4612	701
868	4615	695
869	4616	689
870	4618	683
871	4619	678
872	4620	672
873	4622	666
874	4624	660
875	4625	654
876	4628	649
877	4630	643
878	4632	637
879	4633	631
880	4635	626
881	4637	620
882	4638	614
883	4640	608
884	4642	603
885	4644	597
886	4646	591
887	4647	586
888	4649	580
889	4650	574
890	4652	569
891	4653	563
892	4655	557
893	4657	552
894	4659	546
895	4661	541
896	4662	535
897	4664	529
898	4665	524
899	4667	518
900	4668	512
901	4670	507
902	4672	501
903	4674	496
904	4676	490
905	4677	485
906	4679	479
907	4680	474
908	4682	468
909	4683	463
910	4685	457
911	4688	452
912	4690	446
913	4691	441
914	4693	435
915	4694	430
916	4696	425
917	4697	419
918	4698	414
919	4700	408
920	4705	403
921	4707	398
922	4710	392
923	4712	387
924	4713	382
925	4715	376
926	4718	371
927	4720	366
928	4721	360
929	4723	355
930	4725	350
931	4726	344
932	4728	339
933	4729	334
934	4733	329
935	4734	323
936	4736	318
937	4737	313
938	4739	307
939	4741	302
940	4742	297
941	4744	292
942	4746	286
943	4748	281
944	4750	276
945	4751	271
946	4753	266
947	4754	260
948	4756	255
949	4757	250
950	4759	245
951	4763	240
952	4764	234
953	4766	229
954	4767	224
955	4769	219
956	4770	214
957	4772	209
958	4773	204
959	4775	198
960	4778	193
961	4779	188
962	4781	183
963	4782	178
964	4784	173
965	4785	168
966	4787	163
967	4789	158
968	4793	153
969	4794	148
970	4796	143
971	4798	138
972	4799	133
973	4801	128
974	4802	123
975	4804	118
976	4807	113
977	4809	108
978	4811	103
979	4812	98
980	4814	93
981	4815	88
982	4817	83
983	4818	78
984	4822	73
985	4824	68
986	4825	63
987	4827	58
988	4829	53
989	4830	48
990	4832	43
991	4833	38
992	4837	34
993	4838	29
994	4840	24
995	4841	19
996	4843	14
997	4845	9
998	4846	4
999	4848	0
